!Mobile!Price!Store
0!<a href='https://www.mega.pk/mobiles_products/25053/Sparx-S7-2GB-RAM-32GB-Storage-PTA-Approved.html'> Sparx S7 (2GB RAM 32GB Storage)</a>!15499.0 (PKR) / 55 (USD)!mega.pk
15!<a href='https://priceoye.pk/mobiles/sparx/sparx-neo-8'>Sparx Neo 8 (--GB ---GB)</a>!24299.0 (PKR) / 87 (USD)!priceoye.pk
16!<a href='https://www.shophive.com/sparx-neo-6-3gb-32gb/'> Sparx Neo 6 (3GB 32GB)</a>!24499.0 (PKR) / 88 (USD)!shophive.pk
17!<a href='https://www.mega.pk/mobiles_products/25061/Sparx-Neo-7-Plus-4GB-RAM-64GB-Storage-PTA-Approved.html'> Sparx Neo 7 Plus (4GB RAM 64GB Storage)</a>!24499.0 (PKR) / 88 (USD)!mega.pk
18!<a href='https://www.mega.pk/mobiles_products/24453/Sparx-Neo-6-3GB-RAM-32GB-Storage-PTA-Approved.html'> Sparx Neo 6 (3GB RAM 32GB Storage)</a>!24499.0 (PKR) / 88 (USD)!mega.pk
19!<a href='https://www.shophive.com/sparx-neo-7-3gb-64gb/'> Sparx Neo 7 (3GB 64GB)</a>!24499.0 (PKR) / 88 (USD)!shophive.pk
20!<a href='https://priceoye.pk/mobiles/sparx/sparx-ultra-11'>Sparx Ultra 11 (--GB ---GB)</a>!25299.0 (PKR) / 91 (USD)!priceoye.pk
21!<a href='https://www.mega.pk/mobiles_products/25059/Sparx-Neo-8-Plus-4GB-RAM-64GB-Storage-PTA-Approved.html'> Sparx Neo 8 Plus (4GB RAM 64GB Storage)</a>!25999.0 (PKR) / 93 (USD)!mega.pk
22!<a href='https://www.mega.pk/mobiles_products/24456/Sparx-Neo-7-Pro-4GB-RAM-64GB-Storage-PTA-Approved.html'> Sparx Neo 7 Pro (4GB RAM 64GB Storage)</a>!25999.0 (PKR) / 93 (USD)!mega.pk
23!<a href='https://www.mega.pk/mobiles_products/25063/Sparx-Neo-8-Pro-4GB-RAM-128GB-Storage-PTA-Approved.html'> Sparx Neo 8 Pro (4GB RAM 128GB Storage)</a>!26499.0 (PKR) / 95 (USD)!mega.pk
24!<a href='https://www.mega.pk/mobiles_products/25056/Sparx-Neo-11-4GB-RAM-128GB-Storage-PTA-Approved.html'> Sparx Neo 11 (4GB RAM 128GB Storage)</a>!26999.0 (PKR) / 97 (USD)!mega.pk
25!<a href='https://www.shophive.com/sparx-neo-7-pro-4gb-64gb/'> Sparx Neo 7 Pro (4GB 64GB)</a>!27499.0 (PKR) / 98 (USD)!shophive.pk
26!<a href='https://www.shophive.com/sparx-ultra-11-8gb-128gb/'> Sparx Ultra 11 (8GB 128GB)</a>!27999.0 (PKR) / 100 (USD)!shophive.pk
27!<a href='https://www.mega.pk/mobiles_products/25054/Sparx-Neo-8-4GB-RAM-128GB-Storage-PTA-Approved.html'> Sparx Neo 8 (4GB RAM 128GB Storage)</a>!30499.0 (PKR) / 109 (USD)!mega.pk
28!<a href='https://priceoye.pk/mobiles/sparx/sparx-ultra-8-pro'>Sparx ultra 8 pro (--GB ---GB)</a>!33993.0 (PKR) / 122 (USD)!priceoye.pk
29!<a href='https://priceoye.pk/mobiles/sparx/sparx-note-20'>Sparx Note 20 (--GB ---GB)</a>!34899.0 (PKR) / 125 (USD)!priceoye.pk
30!<a href='https://priceoye.pk/mobiles/sparx/sparx-edge-20-pro'>Sparx Edge 20 Pro (--GB ---GB)</a>!47399.0 (PKR) / 170 (USD)!priceoye.pk
